Year,NSW,VIC,QLD,SA,WA,TAS,NT,ACT,Other Territories,Total
2014,2617600,1583570,1559830,217720,735710,46360,91940,69440,160,6922350
2015,2784930,1810820,1664220,210730,763840,52580,89050,73530,70,7449780
2016,3119290,2040120,1826180,217190,844150,60520,83530,78250,90,8269340
2017,3383060,2184550,1888150,247210,853760,76270,88370,93530,360,8815300
2018,3473130,2378940,2013010,260230,849090,88580,72320,109760,550,9245620
2019,3482840,2509730,2031680,276130,884070,95060,76870,109190,300,9465900
2020,669310,503610,350260,59110,188130,24630,10890,21600,140,1827720
2021,110820,55460,47230,6210,15070,4100,3410,3890,40,246240
2022,1311310,974020,775900,127490,381940,41850,27980,53570,320,3694360
2023,2760620,1841750,1465570,221960,684930,72020,46020,93880,680,7187440
2024,2008670,1382950,1117130,150010,513830,48230,35040,65850,500,5322180
