Year,Under 1 week,1-2 weeks,2 weeks - 1 month,1-2 months,2-3 months,3-6 months,6-12 months,Total Duration,Convention/Conference,Business,Visiting friends/relatives,Holiday,Employment,Education,Other/Not Stated,Total Reason
2014,2048650,1834170,1377140,593560,232560,407190,429050,6922350,225710,625950,1939680,3201930,254820,380030,294180,6922350
2015,2192270,2014910,1477390,618380,248980,435660,462200,7449780,201230,602000,2069140,3496850,317100,459520,303940,7449780
2016,2391410,2331220,1646070,654420,272460,476860,496880,8269340,205740,612010,2080360,4250000,279180,501560,340470,8269340
2017,2492820,2517050,1758490,703930,303810,514220,524980,8815300,267020,659860,2436400,4347640,256620,560060,287680,8815300
2018,2503630,2703740,1858150,723390,333440,570130,553150,9245620,303560,692420,2790660,4339340,208840,600550,310270,9245620
2019,2561590,2807670,1855060,727200,355490,594900,564010,9465900,329660,675790,2845920,4475720,215650,620420,302720,9465900
2020,448600,432520,366250,169520,82520,152430,175920,1827720,38050,120370,552510,789340,67220,180260,79950,1827720
2021,34780,34550,47270,42500,24480,31070,31620,246240,1920,20930,148010,21370,22750,8400,22850,246240
2022,624270,834080,858190,441820,229160,351770,355050,3694360,119830,267410,1767680,1056350,149960,199880,133230,3694360
2023,1635470,1890230,1527750,700630,338390,523580,571400,7187440,242550,445420,2628030,2885050,287630,415240,283540,7187440
2024,1305960,1543260,995970,427300,218600,390240,440850,5322180,151080,309150,1698380,2348520,221170,386950,206920,5322180
