Year,State,Visitor Count
2014,NSW,2617600
2015,NSW,2784930
2016,NSW,3119290
2017,NSW,3383060
2018,NSW,3473130
2019,NSW,3482840
2020,NSW,669310
2021,NSW,110820
2022,NSW,1311310
2023,NSW,2760620
2024,NSW,2008670
2014,VIC,1583570
2015,VIC,1810820
2016,VIC,2040120
2017,VIC,2184550
2018,VIC,2378940
2019,VIC,2509730
2020,VIC,503610
2021,VIC,55460
2022,VIC,974020
2023,VIC,1841750
2024,VIC,1382950
2014,QLD,1559830
2015,QLD,1664220
2016,QLD,1826180
2017,QLD,1888150
2018,QLD,2013010
2019,QLD,2031680
2020,QLD,350260
2021,QLD,47230
2022,QLD,775900
2023,QLD,1465570
2024,QLD,1117130
2014,SA,217720
2015,SA,210730
2016,SA,217190
2017,SA,247210
2018,SA,260230
2019,SA,276130
2020,SA,59110
2021,SA,6210
2022,SA,127490
2023,SA,221960
2024,SA,150010
2014,WA,735710
2015,WA,763840
2016,WA,844150
2017,WA,853760
2018,WA,849090
2019,WA,884070
2020,WA,188130
2021,WA,15070
2022,WA,381940
2023,WA,684930
2024,WA,513830
2014,TAS,46360
2015,TAS,52580
2016,TAS,60520
2017,TAS,76270
2018,TAS,88580
2019,TAS,95060
2020,TAS,24630
2021,TAS,4100
2022,TAS,41850
2023,TAS,72020
2024,TAS,48230
2014,NT,91940
2015,NT,89050
2016,NT,83530
2017,NT,88370
2018,NT,72320
2019,NT,76870
2020,NT,10890
2021,NT,3410
2022,NT,27980
2023,NT,46020
2024,NT,35040
2014,ACT,69440
2015,ACT,73530
2016,ACT,78250
2017,ACT,93530
2018,ACT,109760
2019,ACT,109190
2020,ACT,21600
2021,ACT,3890
2022,ACT,53570
2023,ACT,93880
2024,ACT,65850
2014,Other Territories,160
2015,Other Territories,70
2016,Other Territories,90
2017,Other Territories,360
2018,Other Territories,550
2019,Other Territories,300
2020,Other Territories,140
2021,Other Territories,40
2022,Other Territories,320
2023,Other Territories,680
2024,Other Territories,500
