Year,Reason/Length of Stay,Visitor Count
2014,Under 1 week,2048650
2015,Under 1 week,2192270
2016,Under 1 week,2391410
2017,Under 1 week,2492820
2018,Under 1 week,2503630
2019,Under 1 week,2561590
2020,Under 1 week,448600
2021,Under 1 week,34780
2022,Under 1 week,624270
2023,Under 1 week,1635470
2024,Under 1 week,1305960
2014,1-2 weeks,1834170
2015,1-2 weeks,2014910
2016,1-2 weeks,2331220
2017,1-2 weeks,2517050
2018,1-2 weeks,2703740
2019,1-2 weeks,2807670
2020,1-2 weeks,432520
2021,1-2 weeks,34550
2022,1-2 weeks,834080
2023,1-2 weeks,1890230
2024,1-2 weeks,1543260
2014,2 weeks - 1 month,1377140
2015,2 weeks - 1 month,1477390
2016,2 weeks - 1 month,1646070
2017,2 weeks - 1 month,1758490
2018,2 weeks - 1 month,1858150
2019,2 weeks - 1 month,1855060
2020,2 weeks - 1 month,366250
2021,2 weeks - 1 month,47270
2022,2 weeks - 1 month,858190
2023,2 weeks - 1 month,1527750
2024,2 weeks - 1 month,995970
2014,1-2 months,593560
2015,1-2 months,618380
2016,1-2 months,654420
2017,1-2 months,703930
2018,1-2 months,723390
2019,1-2 months,727200
2020,1-2 months,169520
2021,1-2 months,42500
2022,1-2 months,441820
2023,1-2 months,700630
2024,1-2 months,427300
2014,2-3 months,232560
2015,2-3 months,248980
2016,2-3 months,272460
2017,2-3 months,303810
2018,2-3 months,333440
2019,2-3 months,355490
2020,2-3 months,82520
2021,2-3 months,24480
2022,2-3 months,229160
2023,2-3 months,338390
2024,2-3 months,218600
2014,3-6 months,407190
2015,3-6 months,435660
2016,3-6 months,476860
2017,3-6 months,514220
2018,3-6 months,570130
2019,3-6 months,594900
2020,3-6 months,152430
2021,3-6 months,31070
2022,3-6 months,351770
2023,3-6 months,523580
2024,3-6 months,390240
2014,6-12 months,429050
2015,6-12 months,462200
2016,6-12 months,496880
2017,6-12 months,524980
2018,6-12 months,553150
2019,6-12 months,564010
2020,6-12 months,175920
2021,6-12 months,31620
2022,6-12 months,355050
2023,6-12 months,571400
2024,6-12 months,440850
2014,Convention/Conference,225710
2015,Convention/Conference,201230
2016,Convention/Conference,205740
2017,Convention/Conference,267020
2018,Convention/Conference,303560
2019,Convention/Conference,329660
2020,Convention/Conference,38050
2021,Convention/Conference,1920
2022,Convention/Conference,119830
2023,Convention/Conference,242550
2024,Convention/Conference,151080
2014,Business,625950
2015,Business,602000
2016,Business,612010
2017,Business,659860
2018,Business,692420
2019,Business,675790
2020,Business,120370
2021,Business,20930
2022,Business,267410
2023,Business,445420
2024,Business,309150
2014,Visiting friends/relatives,1939680
2015,Visiting friends/relatives,2069140
2016,Visiting friends/relatives,2080360
2017,Visiting friends/relatives,2436400
2018,Visiting friends/relatives,2790660
2019,Visiting friends/relatives,2845920
2020,Visiting friends/relatives,552510
2021,Visiting friends/relatives,148010
2022,Visiting friends/relatives,1767680
2023,Visiting friends/relatives,2628030
2024,Visiting friends/relatives,1698380
2014,Holiday,3201930
2015,Holiday,3496850
2016,Holiday,4250000
2017,Holiday,4347640
2018,Holiday,4339340
2019,Holiday,4475720
2020,Holiday,789340
2021,Holiday,21370
2022,Holiday,1056350
2023,Holiday,2885050
2024,Holiday,2348520
2014,Employment,254820
2015,Employment,317100
2016,Employment,279180
2017,Employment,256620
2018,Employment,208840
2019,Employment,215650
2020,Employment,67220
2021,Employment,22750
2022,Employment,149960
2023,Employment,287630
2024,Employment,221170
2014,Education,380030
2015,Education,459520
2016,Education,501560
2017,Education,560060
2018,Education,600550
2019,Education,620420
2020,Education,180260
2021,Education,8400
2022,Education,199880
2023,Education,415240
2024,Education,386950
2014,Other/Not Stated,294180
2015,Other/Not Stated,303940
2016,Other/Not Stated,340470
2017,Other/Not Stated,287680
2018,Other/Not Stated,310270
2019,Other/Not Stated,302720
2020,Other/Not Stated,79950
2021,Other/Not Stated,22850
2022,Other/Not Stated,133230
2023,Other/Not Stated,283540
2024,Other/Not Stated,206920
