Year,NSW,Vic,Qld,SA,WA,Tas,NT,ACT,Other Territories,Total
2014,218133.33333333334,131964.16666666666,129985.83333333333,18143.333333333332,61309.166666666664,3863.3333333333335,7661.666666666667,5786.666666666667,13.333333333333334,576862.5
2015,232077.5,150901.66666666666,138685.0,17560.833333333332,63653.333333333336,4381.666666666667,7420.833333333333,6127.5,5.833333333333333,620815.0
2016,259940.83333333334,170010.0,152181.66666666666,18099.166666666668,70345.83333333333,5043.333333333333,6960.833333333333,6520.833333333333,7.5,689111.6666666666
2017,281921.6666666667,182045.83333333334,157345.83333333334,20600.833333333332,71146.66666666667,6355.833333333333,7364.166666666667,7794.166666666667,30.0,734608.3333333334
2018,289427.5,198245.0,167750.83333333334,21685.833333333332,70757.5,7381.666666666667,6026.666666666667,9146.666666666666,45.833333333333336,770468.3333333334
2019,290236.6666666667,209144.16666666666,169306.66666666666,23010.833333333332,73672.5,7921.666666666667,6405.833333333333,9099.166666666666,25.0,788825.0
2020,55775.833333333336,41967.5,29188.333333333332,4925.833333333333,15677.5,2052.5,907.5,1800.0,11.666666666666666,152310.0
2021,9235.0,4621.666666666667,3935.8333333333335,517.5,1255.8333333333333,341.6666666666667,284.1666666666667,324.1666666666667,3.3333333333333335,20520.0
2022,109275.83333333333,81168.33333333333,64658.333333333336,10624.166666666666,31828.333333333332,3487.5,2331.6666666666665,4464.166666666667,26.666666666666668,307863.3333333333
2023,230051.66666666666,153479.16666666666,122130.83333333333,18496.666666666668,57077.5,6001.666666666667,3835.0,7823.333333333333,56.666666666666664,598953.3333333334
2024,251083.75,172868.75,139641.25,18751.25,64228.75,6028.75,4380.0,8231.25,62.5,665272.5
