Year,State,Total,Latitude,Longitude
2014,NSW,218133.3333333333,-31.2532,146.9211
2015,NSW,232077.5,-31.2532,146.9211
2016,NSW,259940.8333333333,-31.2532,146.9211
2017,NSW,281921.6666666667,-31.2532,146.9211
2018,NSW,289427.5,-31.2532,146.9211
2019,NSW,290236.6666666667,-31.2532,146.9211
2020,NSW,55775.833333333336,-31.2532,146.9211
2021,NSW,9235.0,-31.2532,146.9211
2022,NSW,109275.83333333331,-31.2532,146.9211
2023,NSW,230051.66666666663,-31.2532,146.9211
2024,NSW,251083.75,-31.2532,146.9211
2014,Vic,131964.16666666666,-37.4713,144.7852
2015,Vic,150901.66666666666,-37.4713,144.7852
2016,Vic,170010.0,-37.4713,144.7852
2017,Vic,182045.8333333333,-37.4713,144.7852
2018,Vic,198245.0,-37.4713,144.7852
2019,Vic,209144.16666666663,-37.4713,144.7852
2020,Vic,41967.5,-37.4713,144.7852
2021,Vic,4621.666666666667,-37.4713,144.7852
2022,Vic,81168.33333333333,-37.4713,144.7852
2023,Vic,153479.16666666666,-37.4713,144.7852
2024,Vic,172868.75,-37.4713,144.7852
2014,Qld,129985.83333333331,-20.9176,142.7028
2015,Qld,138685.0,-20.9176,142.7028
2016,Qld,152181.66666666666,-20.9176,142.7028
2017,Qld,157345.83333333334,-20.9176,142.7028
2018,Qld,167750.83333333334,-20.9176,142.7028
2019,Qld,169306.66666666666,-20.9176,142.7028
2020,Qld,29188.33333333333,-20.9176,142.7028
2021,Qld,3935.8333333333335,-20.9176,142.7028
2022,Qld,64658.333333333336,-20.9176,142.7028
2023,Qld,122130.83333333331,-20.9176,142.7028
2024,Qld,139641.25,-20.9176,142.7028
2014,SA,18143.33333333333,-30.0002,135.0
2015,SA,17560.833333333332,-30.0002,135.0
2016,SA,18099.166666666668,-30.0002,135.0
2017,SA,20600.83333333333,-30.0002,135.0
2018,SA,21685.83333333333,-30.0002,135.0
2019,SA,23010.83333333333,-30.0002,135.0
2020,SA,4925.833333333333,-30.0002,135.0
2021,SA,517.5,-30.0002,135.0
2022,SA,10624.166666666666,-30.0002,135.0
2023,SA,18496.666666666668,-30.0002,135.0
2024,SA,18751.25,-30.0002,135.0
2014,WA,61309.16666666666,-25.0423,117.8653
2015,WA,63653.333333333336,-25.0423,117.8653
2016,WA,70345.83333333333,-25.0423,117.8653
2017,WA,71146.66666666667,-25.0423,117.8653
2018,WA,70757.5,-25.0423,117.8653
2019,WA,73672.5,-25.0423,117.8653
2020,WA,15677.5,-25.0423,117.8653
2021,WA,1255.8333333333333,-25.0423,117.8653
2022,WA,31828.33333333333,-25.0423,117.8653
2023,WA,57077.5,-25.0423,117.8653
2024,WA,64228.75,-25.0423,117.8653
2014,Tas,3863.3333333333335,-41.4545,145.9707
2015,Tas,4381.666666666667,-41.4545,145.9707
2016,Tas,5043.333333333333,-41.4545,145.9707
2017,Tas,6355.833333333333,-41.4545,145.9707
2018,Tas,7381.666666666667,-41.4545,145.9707
2019,Tas,7921.666666666667,-41.4545,145.9707
2020,Tas,2052.5,-41.4545,145.9707
2021,Tas,341.6666666666667,-41.4545,145.9707
2022,Tas,3487.5,-41.4545,145.9707
2023,Tas,6001.666666666667,-41.4545,145.9707
2024,Tas,6028.75,-41.4545,145.9707
2014,NT,7661.666666666667,-19.4914,132.55
2015,NT,7420.833333333333,-19.4914,132.55
2016,NT,6960.833333333333,-19.4914,132.55
2017,NT,7364.166666666667,-19.4914,132.55
2018,NT,6026.666666666667,-19.4914,132.55
2019,NT,6405.833333333333,-19.4914,132.55
2020,NT,907.5,-19.4914,132.55
2021,NT,284.1666666666667,-19.4914,132.55
2022,NT,2331.6666666666665,-19.4914,132.55
2023,NT,3835.0,-19.4914,132.55
2024,NT,4380.0,-19.4914,132.55
2014,ACT,5786.666666666667,-35.4735,149.0124
2015,ACT,6127.5,-35.4735,149.0124
2016,ACT,6520.833333333333,-35.4735,149.0124
2017,ACT,7794.166666666667,-35.4735,149.0124
2018,ACT,9146.666666666666,-35.4735,149.0124
2019,ACT,9099.166666666666,-35.4735,149.0124
2020,ACT,1800.0,-35.4735,149.0124
2021,ACT,324.1666666666667,-35.4735,149.0124
2022,ACT,4464.166666666667,-35.4735,149.0124
2023,ACT,7823.333333333333,-35.4735,149.0124
2024,ACT,8231.25,-35.4735,149.0124
2014,Other Territories,13.333333333333334,-53.0,73.0
2015,Other Territories,5.833333333333333,-53.0,73.0
2016,Other Territories,7.5,-53.0,73.0
2017,Other Territories,30.0,-53.0,73.0
2018,Other Territories,45.833333333333336,-53.0,73.0
2019,Other Territories,25.0,-53.0,73.0
2020,Other Territories,11.666666666666666,-53.0,73.0
2021,Other Territories,3.333333333333333,-53.0,73.0
2022,Other Territories,26.666666666666668,-53.0,73.0
2023,Other Territories,56.66666666666666,-53.0,73.0
2024,Other Territories,62.5,-53.0,73.0
2014,Total,576862.5,,
2015,Total,620815.0,,
2016,Total,689111.6666666666,,
2017,Total,734608.3333333334,,
2018,Total,770468.3333333334,,
2019,Total,788825.0,,
2020,Total,152310.0,,
2021,Total,20520.0,,
2022,Total,307863.3333333333,,
2023,Total,598953.3333333334,,
2024,Total,665272.5,,
