Year,State,Total,Latitude,Longitude
2014,NSW,218133 ,-31.2532,146.9211
2015,NSW,232078 ,-31.2532,146.9211
2016,NSW,259941 ,-31.2532,146.9211
2017,NSW,281922 ,-31.2532,146.9211
2018,NSW,289428 ,-31.2532,146.9211
2019,NSW,290237 ,-31.2532,146.9211
2020,NSW,55776 ,-31.2532,146.9211
2021,NSW,9235 ,-31.2532,146.9211
2022,NSW,109276 ,-31.2532,146.9211
2023,NSW,230052 ,-31.2532,146.9211
2024,NSW,251084 ,-31.2532,146.9211
2014,Vic,131964 ,-37.4713,144.7852
2015,Vic,150902 ,-37.4713,144.7852
2016,Vic,170010 ,-37.4713,144.7852
2017,Vic,182046 ,-37.4713,144.7852
2018,Vic,198245 ,-37.4713,144.7852
2019,Vic,209144 ,-37.4713,144.7852
2020,Vic,41968 ,-37.4713,144.7852
2021,Vic,4622 ,-37.4713,144.7852
2022,Vic,81168 ,-37.4713,144.7852
2023,Vic,153479 ,-37.4713,144.7852
2024,Vic,172869 ,-37.4713,144.7852
2014,Qld,129986 ,-20.9176,142.7028
2015,Qld,138685 ,-20.9176,142.7028
2016,Qld,152182 ,-20.9176,142.7028
2017,Qld,157346 ,-20.9176,142.7028
2018,Qld,167751 ,-20.9176,142.7028
2019,Qld,169307 ,-20.9176,142.7028
2020,Qld,29188 ,-20.9176,142.7028
2021,Qld,3936 ,-20.9176,142.7028
2022,Qld,64658 ,-20.9176,142.7028
2023,Qld,122131 ,-20.9176,142.7028
2024,Qld,139641 ,-20.9176,142.7028
2014,SA,18143 ,-30.0002,135
2015,SA,17561 ,-30.0002,135
2016,SA,18099 ,-30.0002,135
2017,SA,20601 ,-30.0002,135
2018,SA,21686 ,-30.0002,135
2019,SA,23011 ,-30.0002,135
2020,SA,4926 ,-30.0002,135
2021,SA,518 ,-30.0002,135
2022,SA,10624 ,-30.0002,135
2023,SA,18497 ,-30.0002,135
2024,SA,18751 ,-30.0002,135
2014,WA,61309 ,-25.0423,117.8653
2015,WA,63653 ,-25.0423,117.8653
2016,WA,70346 ,-25.0423,117.8653
2017,WA,71147 ,-25.0423,117.8653
2018,WA,70758 ,-25.0423,117.8653
2019,WA,73673 ,-25.0423,117.8653
2020,WA,15678 ,-25.0423,117.8653
2021,WA,1256 ,-25.0423,117.8653
2022,WA,31828 ,-25.0423,117.8653
2023,WA,57078 ,-25.0423,117.8653
2024,WA,64229 ,-25.0423,117.8653
2014,Tas,3863 ,-41.4545,145.9707
2015,Tas,4382 ,-41.4545,145.9707
2016,Tas,5043 ,-41.4545,145.9707
2017,Tas,6356 ,-41.4545,145.9707
2018,Tas,7382 ,-41.4545,145.9707
2019,Tas,7922 ,-41.4545,145.9707
2020,Tas,2053 ,-41.4545,145.9707
2021,Tas,342 ,-41.4545,145.9707
2022,Tas,3488 ,-41.4545,145.9707
2023,Tas,6002 ,-41.4545,145.9707
2024,Tas,6029 ,-41.4545,145.9707
2014,NT,7662 ,-19.4914,132.55
2015,NT,7421 ,-19.4914,132.55
2016,NT,6961 ,-19.4914,132.55
2017,NT,7364 ,-19.4914,132.55
2018,NT,6027 ,-19.4914,132.55
2019,NT,6406 ,-19.4914,132.55
2020,NT,908 ,-19.4914,132.55
2021,NT,284 ,-19.4914,132.55
2022,NT,2332 ,-19.4914,132.55
2023,NT,3835 ,-19.4914,132.55
2024,NT,4380 ,-19.4914,132.55
2014,ACT,5787 ,-35.4735,149.0124
2015,ACT,6128 ,-35.4735,149.0124
2016,ACT,6521 ,-35.4735,149.0124
2017,ACT,7794 ,-35.4735,149.0124
2018,ACT,9147 ,-35.4735,149.0124
2019,ACT,9099 ,-35.4735,149.0124
2020,ACT,1800 ,-35.4735,149.0124
2021,ACT,324 ,-35.4735,149.0124
2022,ACT,4464 ,-35.4735,149.0124
2023,ACT,7823 ,-35.4735,149.0124
2024,ACT,8231 ,-35.4735,149.0124
